player_key,full_name,team_key,season_key,pos,g,gs,perce,ts_per,usg_per,ws,bpm,vorp,mp,age,salary,value,deserved_salary,salary_gap,overpaid_underpaid,fair_value
randlju01,Julius Randle,NYK,2021,PF,71,71,19.70,0.570,29.30,7.80,3.80,3.90,2667,26,24184931.00,17855139.430000,32058741.06,7873810.06,-7873810.06,false
barrerj01,RJ Barrett,NYK,2021,SG,72,72,13.40,0.540,23.40,4.10,-1.20,0.50,2511,20,10031975.00,4032390.570000,18235992.20,8204017.20,-8204017.20,false
jokicni01,Nikola Jokic,DEN,2021,C,72,72,31.30,0.650,29.60,15.60,12.10,8.80,2488,25,36002595.00,30749879.040000,44953480.67,8950885.67,-8950885.67,false
hieldbu01,Buddy Hield,SAC,2021,SG,71,71,12.80,0.570,20.70,2.20,-0.60,0.90,2433,28,30384192.00,2296218.210000,16499819.84,-13884372.16,13884372.16,false
lillada01,Damian Lillard,POR,2021,PG,67,67,25.60,0.620,31.40,10.40,6.30,5.00,2398,30,38543497.00,21928885.480000,36132487.11,-2411009.89,2411009.89,true
roziete01,Terry Rozier,CHO,2021,SG,69,69,17.10,0.570,24.40,5.20,1.60,2.20,2383,26,23033268.00,8818619.690000,23022221.32,-11046.68,11046.68,true
westbru01,Russell Westbrook,WAS,2021,PG,65,65,19.50,0.510,30.20,3.70,3.70,3.40,2369,32,50403633.00,17962481.350000,32166082.98,-18237550.02,18237550.02,false
wiggian01,Andrew Wiggins,GSW,2021,PF,71,71,15.00,0.570,23.30,3.90,-0.40,1.00,2364,25,36002595.00,4306085.230000,18509686.85,-17492908.15,17492908.15,false
bridgmi01,Mikal Bridges,PHO,2021,SF,72,72,16.40,0.670,14.90,8.00,3.30,3.10,2348,24,5312276.00,3443614.800000,17647216.43,12334940.43,-12334940.43,false
vucevni01,Nikola Vucevic,2TM,2021,C,70,70,22.90,0.560,29.30,6.30,5.30,4.40,2348,30,31685977.00,18879631.950000,33083233.58,1397256.58,-1397256.58,true
vucevni01,Nikola Vucevic,ORL,2021,C,44,44,23.50,0.560,29.90,3.90,5.90,3.00,1500,30,31685977.00,18764446.940000,32968048.56,1282071.56,-1282071.56,true
vucevni01,Nikola Vucevic,CHI,2021,C,26,26,21.80,0.550,28.20,2.40,4.40,1.40,848,30,31685977.00,13627946.520000,27831548.15,-3854428.85,3854428.85,true
edwaran01,Anthony Edwards,MIN,2021,SG,72,55,13.90,0.520,27.00,0.80,-2.10,-0.10,2314,19,11891308.00,4470527.850000,18674129.48,6782821.48,-6782821.48,false
tatumja01,Jayson Tatum,BOS,2021,SF,64,64,21.30,0.580,30.80,6.50,3.90,3.40,2290,22,12061535.00,17851713.960000,32055315.59,19993780.59,-19993780.59,false
bookede01,Devin Booker,PHO,2021,SG,67,67,19.20,0.590,32.70,4.90,0.30,1.30,2270,24,35912155.00,12508459.700000,26712061.33,-9200093.67,9200093.67,false
middlkh01,Khris Middleton,MIL,2021,SF,68,68,18.20,0.590,25.00,6.40,1.30,1.90,2269,29,40279853.00,8136123.670000,22339725.30,-17940127.70,17940127.70,false
robindu01,Duncan Robinson,MIA,2021,SF,72,72,11.00,0.630,16.60,3.70,-1.00,0.60,2262,26,2027733.00,-2154495.160000,12049106.46,10021373.46,-10021373.46,false
doncilu01,Luka Doncic,DAL,2021,PG,66,66,25.30,0.590,36.00,7.70,6.80,5.10,2262,21,9809686.00,27115209.810000,41318811.44,31509125.44,-31509125.44,false
covinro01,Robert Covington,POR,2021,PF,70,70,11.20,0.550,11.50,3.70,0.20,1.20,2243,30,14792897.00,-3786383.100000,10417218.53,-4375678.47,4375678.47,false
onealro01,Royce O'Neale,UTA,2021,SF,71,71,9.90,0.600,9.60,5.60,1.00,1.70,2241,27,10358877.00,-3360615.990000,10842985.64,484108.64,-484108.64,true
sabondo01,Domantas Sabonis,IND,2021,PF,62,62,20.60,0.600,24.10,6.90,3.80,3.30,2231,24,24130090.00,11421287.140000,25624888.77,1494798.77,-1494798.77,true
