player_key,team_key,season_key,pos,g,gs,perce,ts_per,usg_per,ws,bpm,vorp,mp,age,salary
randlju01,NYK,2021,PF,71,71,19.70,0.567,29.30,7.80,3.80,3.90,2667,26,24184931.00
barrerj01,NYK,2021,SG,72,72,13.40,0.535,23.40,4.10,-1.20,0.50,2511,20,10031975.00
jokicni01,DEN,2021,C,72,72,31.30,0.647,29.60,15.60,12.10,8.80,2488,25,36002595.00
hieldbu01,SAC,2021,SG,71,71,12.80,0.567,20.70,2.20,-0.60,0.90,2433,28,30384192.00
lillada01,POR,2021,PG,67,67,25.60,0.623,31.40,10.40,6.30,5.00,2398,30,38543497.00
roziete01,CHO,2021,SG,69,69,17.10,0.575,24.40,5.20,1.60,2.20,2383,26,23033268.00
westbru01,WAS,2021,PG,65,65,19.50,0.509,30.20,3.70,3.70,3.40,2369,32,50403633.00
wiggian01,GSW,2021,PF,71,71,15.00,0.568,23.30,3.90,-0.40,1.00,2364,25,36002595.00
bridgmi01,PHO,2021,SF,72,72,16.40,0.667,14.90,8.00,3.30,3.10,2348,24,5312276.00
vucevni01,2TM,2021,C,70,70,22.90,0.560,29.30,6.30,5.30,4.40,2348,30,31685977.00
vucevni01,ORL,2021,C,44,44,23.50,0.565,29.90,3.90,5.90,3.00,1500,30,31685977.00
vucevni01,CHI,2021,C,26,26,21.80,0.550,28.20,2.40,4.40,1.40,848,30,31685977.00
edwaran01,MIN,2021,SG,72,55,13.90,0.523,27.00,0.80,-2.10,-0.10,2314,19,11891308.00
tatumja01,BOS,2021,SF,64,64,21.30,0.576,30.80,6.50,3.90,3.40,2290,22,12061535.00
bookede01,PHO,2021,SG,67,67,19.20,0.587,32.70,4.90,0.30,1.30,2270,24,35912155.00
middlkh01,MIL,2021,SF,68,68,18.20,0.588,25.00,6.40,1.30,1.90,2269,29,40279853.00
robindu01,MIA,2021,SF,72,72,11.00,0.628,16.60,3.70,-1.00,0.60,2262,26,2027733.00
doncilu01,DAL,2021,PG,66,66,25.30,0.587,36.00,7.70,6.80,5.10,2262,21,9809686.00
covinro01,POR,2021,PF,70,70,11.20,0.553,11.50,3.70,0.20,1.20,2243,30,14792897.00
onealro01,UTA,2021,SF,71,71,9.90,0.599,9.60,5.60,1.00,1.70,2241,27,10358877.00
sabondo01,IND,2021,PF,62,62,20.60,0.601,24.10,6.90,3.80,3.30,2231,24,24130090.00
bogdabo02,UTA,2021,SF,72,72,14.00,0.588,22.80,5.20,-0.40,0.90,2216,31,21753642.00
powelno01,2TM,2021,SG,69,58,16.20,0.618,22.60,4.70,0.40,1.30,2205,27,13242242.00
powelno01,TOR,2021,SG,42,31,17.70,0.645,24.20,3.20,1.50,1.10,1277,27,13242242.00
powelno01,POR,2021,SF,27,27,14.20,0.576,20.50,1.50,-1.20,0.20,928,27,13242242.00
paulch01,PHO,2021,PG,70,70,21.40,0.599,22.60,9.20,4.60,3.60,2199,35,50403633.00
goberru01,UTA,2021,C,71,71,23.50,0.683,17.00,11.30,4.90,3.80,2187,28,33544824.00
holidju01,IND,2021,SG,72,52,10.40,0.571,14.00,3.10,-1.00,0.60,2183,31,6971402.00
okorois01,CLE,2021,SG,67,67,7.90,0.514,14.30,0.90,-5.10,-1.70,2173,20,7800746.00
whiteco01,CHI,2021,PG,69,54,12.00,0.540,22.50,2.40,-2.40,-0.20,2156,20,6791377.00
curryst01,GSW,2021,PG,63,63,26.30,0.655,34.80,9.00,8.70,5.80,2152,32,52411485.00
bealbr01,WAS,2021,SG,60,60,22.70,0.593,34.10,5.90,3.40,2.90,2147,27,35039541.00
adebaba01,MIA,2021,C,64,64,22.70,0.626,23.70,8.80,4.90,3.70,2143,23,6234206.00
harrijo01,BRK,2021,SF,69,65,14.10,0.663,16.20,5.20,0.40,1.30,2141,29,19586113.00
murrade01,SAS,2021,PG,67,67,16.50,0.509,23.40,3.30,0.80,1.50,2139,24,17410226.00
huertke01,ATL,2021,SG,69,49,12.20,0.541,17.20,3.60,-0.30,1.00,2126,22,3365928.00
youngtr01,ATL,2021,PG,63,63,23.00,0.589,33.00,7.20,3.70,3.00,2125,22,8008996.00
aytonde01,PHO,2021,C,69,69,20.30,0.653,18.20,8.40,1.20,1.70,2115,22,12209094.00
sextoco01,CLE,2021,SG,60,60,18.00,0.573,29.70,3.50,-0.20,1.00,2115,22,6083561.00
bledser01,NOP,2021,SG,71,70,11.50,0.533,18.50,2.30,-2.00,0.00,2111,31,20565418.00
barneha02,SAC,2021,PF,58,58,15.40,0.626,17.20,4.50,0.20,1.10,2102,28,27074338.00
ingrabr01,NOP,2021,SF,61,61,19.20,0.584,28.00,5.30,2.20,2.20,2093,23,33251996.00
derozde01,SAS,2021,PF,61,61,22.00,0.591,26.10,7.40,3.10,2.60,2056,31,33806470.00
moranja01,MEM,2021,PG,63,63,16.70,0.537,27.20,3.20,-0.40,0.80,2053,21,11171500.00
tateja01,HOU,2021,SF,70,58,13.80,0.576,16.40,3.80,-1.40,0.30,2043,25,1761858.00
foxde01,SAC,2021,PG,58,58,20.70,0.565,31.00,4.20,1.80,2.00,2036,23,9870946.00
lavinza01,CHI,2021,SG,58,58,21.50,0.634,31.00,5.90,4.00,3.10,2034,25,23764483.00
willizi01,NOP,2021,PF,61,61,27.10,0.649,29.80,8.70,5.80,4.00,2026,20,12486078.00
harrito02,PHI,2021,PF,62,62,20.00,0.597,23.90,7.10,3.70,2.90,2014,28,41872836.00
antetgi01,MIL,2021,PF,61,61,29.20,0.633,32.50,10.20,9.00,5.60,2013,26,33548245.00
siakapa01,TOR,2021,PF,56,56,17.70,0.547,26.30,4.20,0.80,1.40,2006,26,37242235.00
brownja02,BOS,2021,SG,58,58,19.90,0.586,29.70,4.80,2.50,2.30,1999,24,30510084.00
brookdi01,MEM,2021,SF,67,67,12.10,0.515,26.10,1.40,-3.70,-0.90,1997,25,13893082.00
olynyke01,2TM,2021,PF,70,62,16.40,0.610,19.70,5.10,1.20,1.60,1997,29,15623197.00
olynyke01,MIA,2021,C,43,38,12.10,0.549,17.50,1.90,-0.70,0.40,1157,29,15623197.00
