player_key,team_key,season_key,g,gs,perce,ts_per,usg_per,ws,bpm,vorp,mp,age,salary,value,deserved_salary,salary_gap,overpaid_underpaid,fair_value
randlju01,NYK,2021,71,71,19.70,0.57,29.30,7.80,3.80,3.90,2667,26,24184931.00,17855139.43,32058741.06,7873810.06,-7873810.06,False
barrerj01,NYK,2021,72,72,13.40,0.54,23.40,4.10,-1.20,0.50,2511,20,10031975.00,4032390.57,18235992.20,8204017.20,-8204017.20,False
jokicni01,DEN,2021,72,72,31.30,0.65,29.60,15.60,12.10,8.80,2488,25,36002595.00,30749879.04,44953480.67,8950885.67,-8950885.67,False
hieldbu01,SAC,2021,71,71,12.80,0.57,20.70,2.20,-0.60,0.90,2433,28,30384192.00,2296218.21,16499819.84,-13884372.16,13884372.16,False
lillada01,POR,2021,67,67,25.60,0.62,31.40,10.40,6.30,5.00,2398,30,38543497.00,21928885.48,36132487.11,-2411009.89,2411009.89,True
roziete01,CHO,2021,69,69,17.10,0.57,24.40,5.20,1.60,2.20,2383,26,23033268.00,8818619.69,23022221.32,-11046.68,11046.68,True
westbru01,WAS,2021,65,65,19.50,0.51,30.20,3.70,3.70,3.40,2369,32,50403633.00,17962481.35,32166082.98,-18237550.02,18237550.02,False
wiggian01,GSW,2021,71,71,15.00,0.57,23.30,3.90,-0.40,1.00,2364,25,36002595.00,4306085.23,18509686.85,-17492908.15,17492908.15,False
bridgmi01,PHO,2021,72,72,16.40,0.67,14.90,8.00,3.30,3.10,2348,24,5312276.00,3443614.80,17647216.43,12334940.43,-12334940.43,False
vucevni01,2TM,2021,70,70,22.90,0.56,29.30,6.30,5.30,4.40,2348,30,31685977.00,18879631.95,33083233.58,1397256.58,-1397256.58,True
vucevni01,ORL,2021,44,44,23.50,0.56,29.90,3.90,5.90,3.00,1500,30,31685977.00,18764446.94,32968048.56,1282071.56,-1282071.56,True
vucevni01,CHI,2021,26,26,21.80,0.55,28.20,2.40,4.40,1.40,848,30,31685977.00,13627946.52,27831548.15,-3854428.85,3854428.85,True
edwaran01,MIN,2021,72,55,13.90,0.52,27.00,0.80,-2.10,-0.10,2314,19,11891308.00,4470527.85,18674129.48,6782821.48,-6782821.48,False
tatumja01,BOS,2021,64,64,21.30,0.58,30.80,6.50,3.90,3.40,2290,22,12061535.00,17851713.96,32055315.59,19993780.59,-19993780.59,False
bookede01,PHO,2021,67,67,19.20,0.59,32.70,4.90,0.30,1.30,2270,24,35912155.00,12508459.70,26712061.33,-9200093.67,9200093.67,False
middlkh01,MIL,2021,68,68,18.20,0.59,25.00,6.40,1.30,1.90,2269,29,40279853.00,8136123.67,22339725.30,-17940127.70,17940127.70,False
robindu01,MIA,2021,72,72,11.00,0.63,16.60,3.70,-1.00,0.60,2262,26,2027733.00,-2154495.16,12049106.46,10021373.46,-10021373.46,False
doncilu01,DAL,2021,66,66,25.30,0.59,36.00,7.70,6.80,5.10,2262,21,9809686.00,27115209.81,41318811.44,31509125.44,-31509125.44,False
covinro01,POR,2021,70,70,11.20,0.55,11.50,3.70,0.20,1.20,2243,30,14792897.00,-3786383.10,10417218.53,-4375678.47,4375678.47,False
onealro01,UTA,2021,71,71,9.90,0.60,9.60,5.60,1.00,1.70,2241,27,10358877.00,-3360615.99,10842985.64,484108.64,-484108.64,True
sabondo01,IND,2021,62,62,20.60,0.60,24.10,6.90,3.80,3.30,2231,24,24130090.00,11421287.14,25624888.77,1494798.77,-1494798.77,True
bogdabo02,UTA,2021,72,72,14.00,0.59,22.80,5.20,-0.40,0.90,2216,31,21753642.00,4104902.51,18308504.14,-3445137.86,3445137.86,False
powelno01,2TM,2021,69,58,16.20,0.62,22.60,4.70,0.40,1.30,2205,27,13242242.00,4221897.81,18425499.44,5183257.44,-5183257.44,False
powelno01,TOR,2021,42,31,17.70,0.65,24.20,3.20,1.50,1.10,1277,27,13242242.00,5398754.17,19602355.80,6360113.80,-6360113.80,False
powelno01,POR,2021,27,27,14.20,0.58,20.50,1.50,-1.20,0.20,928,27,13242242.00,-2525631.19,11677970.44,-1564271.56,1564271.56,True
paulch01,PHO,2021,70,70,21.40,0.60,22.60,9.20,4.60,3.60,2199,35,50403633.00,11733397.63,25936999.25,-24466633.75,24466633.75,False
goberru01,UTA,2021,71,71,23.50,0.68,17.00,11.30,4.90,3.80,2187,28,33544824.00,5696069.10,19899670.73,-13645153.27,13645153.27,False
holidju01,IND,2021,72,52,10.40,0.57,14.00,3.10,-1.00,0.60,2183,31,6971402.00,-4017266.87,10186334.76,3214932.76,-3214932.76,False
okorois01,CLE,2021,67,67,7.90,0.51,14.30,0.90,-5.10,-1.70,2173,20,7800746.00,-11205313.66,2998287.97,-4802458.03,4802458.03,False
whiteco01,CHI,2021,69,54,12.00,0.54,22.50,2.40,-2.40,-0.20,2156,20,6791377.00,338503.97,14542105.60,7750728.60,-7750728.60,False
curryst01,GSW,2021,63,63,26.30,0.66,34.80,9.00,8.70,5.80,2152,32,52411485.00,29035835.27,43239436.90,-9172048.10,9172048.10,False
bealbr01,WAS,2021,60,60,22.70,0.59,34.10,5.90,3.40,2.90,2147,27,35039541.00,18746481.43,32950083.06,-2089457.94,2089457.94,True
adebaba01,MIA,2021,64,64,22.70,0.63,23.70,8.80,4.90,3.70,2143,23,6234206.00,12392237.06,26595838.69,20361632.69,-20361632.69,False
harrijo01,BRK,2021,69,65,14.10,0.66,16.20,5.20,0.40,1.30,2141,29,19586113.00,-1242884.78,12960716.85,-6625396.15,6625396.15,False
murrade01,SAS,2021,67,67,16.50,0.51,23.40,3.30,0.80,1.50,2139,24,17410226.00,6356439.74,20560041.37,3149815.37,-3149815.37,False
huertke01,ATL,2021,69,49,12.20,0.54,17.20,3.60,-0.30,1.00,2126,22,3365928.00,-88223.42,14115378.21,10749450.21,-10749450.21,False
youngtr01,ATL,2021,63,63,23.00,0.59,33.00,7.20,3.70,3.00,2125,22,8008996.00,18450161.48,32653763.11,24644767.11,-24644767.11,False
aytonde01,PHO,2021,69,69,20.30,0.65,18.20,8.40,1.20,1.70,2115,22,12209094.00,59677.20,14263278.83,2054184.83,-2054184.83,True
sextoco01,CLE,2021,60,60,18.00,0.57,29.70,3.50,-0.20,1.00,2115,22,6083561.00,8814610.26,23018211.89,16934650.89,-16934650.89,False
bledser01,NOP,2021,71,70,11.50,0.53,18.50,2.30,-2.00,0.00,2111,31,20565418.00,-2349083.90,11854517.73,-8710900.27,8710900.27,False
barneha02,SAC,2021,58,58,15.40,0.63,17.20,4.50,0.20,1.10,2102,28,27074338.00,-1170153.68,13033447.95,-14040890.05,14040890.05,False
ingrabr01,NOP,2021,61,61,19.20,0.58,28.00,5.30,2.20,2.20,2093,23,33251996.00,11983889.09,26187490.72,-7064505.28,7064505.28,False
derozde01,SAS,2021,61,61,22.00,0.59,26.10,7.40,3.10,2.60,2056,31,33806470.00,11068388.77,25271990.40,-8534479.60,8534479.60,False
moranja01,MEM,2021,63,63,16.70,0.54,27.20,3.20,-0.40,0.80,2053,21,11171500.00,6839433.62,21043035.25,9871535.25,-9871535.25,False
tateja01,HOU,2021,70,58,13.80,0.58,16.40,3.80,-1.40,0.30,2043,25,1761858.00,-4361549.27,9842052.36,8080194.36,-8080194.36,False
foxde01,SAC,2021,58,58,20.70,0.56,31.00,4.20,1.80,2.00,2036,23,9870946.00,13129955.71,27333557.34,17462611.34,-17462611.34,False
lavinza01,CHI,2021,58,58,21.50,0.63,31.00,5.90,4.00,3.10,2034,25,23764483.00,17125354.84,31328956.47,7564473.47,-7564473.47,False
willizi01,NOP,2021,61,61,27.10,0.65,29.80,8.70,5.80,4.00,2026,20,12486078.00,17580500.77,31784102.40,19298024.40,-19298024.40,False
harrito02,PHI,2021,62,62,20.00,0.60,23.90,7.10,3.70,2.90,2014,28,41872836.00,11047850.36,25251451.99,-16621384.01,16621384.01,False
antetgi01,MIL,2021,61,61,29.20,0.63,32.50,10.20,9.00,5.60,2013,26,33548245.00,26389960.73,40593562.36,7045317.36,-7045317.36,False
siakapa01,TOR,2021,56,56,17.70,0.55,26.30,4.20,0.80,1.40,2006,26,37242235.00,8105004.49,22308606.12,-14933628.88,14933628.88,False
brownja02,BOS,2021,58,58,19.90,0.59,29.70,4.80,2.50,2.30,1999,24,30510084.00,13638107.72,27841709.35,-2668374.65,2668374.65,True
brookdi01,MEM,2021,67,67,12.10,0.52,26.10,1.40,-3.70,-0.90,1997,25,13893082.00,676558.09,14880159.72,987077.72,-987077.72,True
olynyke01,2TM,2021,70,62,16.40,0.61,19.70,5.10,1.20,1.60,1997,29,15623197.00,2931445.14,17135046.77,1511849.77,-1511849.77,True
olynyke01,MIA,2021,43,38,12.10,0.55,17.50,1.90,-0.70,0.40,1157,29,15623197.00,-2572230.15,11631371.48,-3991825.52,3991825.52,False
olynyke01,HOU,2021,27,24,22.30,0.67,22.90,3.20,3.80,1.20,840,29,15623197.00,6088502.54,20292104.17,4668907.17,-4668907.17,False
hardati02,DAL,2021,70,31,15.70,0.59,23.40,4.30,0.40,1.20,1985,28,23124670.00,5049092.57,19252694.20,-3871975.80,3871975.80,False
willipa01,CHI,2021,71,71,10.50,0.56,14.90,2.50,-2.40,-0.20,1983,19,8614149.00,-6569914.18,7633687.45,-980461.55,980461.55,True
greendr01,GSW,2021,63,63,13.30,0.53,13.10,4.60,1.70,1.90,1982,30,27112175.00,-108563.47,14095038.15,-13017136.85,13017136.85,False
johnske04,SAS,2021,69,67,13.80,0.56,19.20,3.30,-1.60,0.20,1968,21,2495928.00,-2199744.12,12003857.50,9507929.50,-9507929.50,False
schrode01,LAL,2021,61,61,13.80,0.54,22.90,3.80,-1.10,0.40,1956,27,,2547671.89,16751273.52,,,False
kuzmaky01,LAL,2021,68,32,12.70,0.55,20.30,3.30,-0.40,0.80,1954,25,4341195.00,2001140.01,16204741.64,11863546.64,-11863546.64,False
washipj01,CHO,2021,64,61,13.40,0.55,19.40,2.70,-0.90,0.60,1954,22,4903526.00,-381338.27,13822263.36,8918737.36,-8918737.36,False
bullore01,NYK,2021,65,64,11.10,0.61,14.40,4.60,-0.10,0.90,1949,29,5118504.00,-2480307.10,11723294.53,6604790.53,-6604790.53,False
greenda02,PHI,2021,69,69,12.10,0.58,14.00,4.60,1.90,1.90,1934,33,18726233.00,1170329.06,15373930.69,-3352302.31,3352302.31,False
bridgmi02,CHO,2021,66,19,14.70,0.62,17.30,4.20,0.20,1.10,1932,22,4794722.00,-1078501.15,13125100.48,8330378.48,-8330378.48,False
brogdma01,IND,2021,56,56,17.90,0.56,25.90,4.20,2.10,2.00,1930,28,25226913.00,10174376.31,24377977.94,-848935.06,848935.06,True
finnedo01,DAL,2021,60,60,12.00,0.61,12.20,4.40,0.10,1.00,1921,27,4874765.00,-4644683.84,9558917.79,4684152.79,-4684152.79,False
portemi01,DEN,2021,61,54,20.60,0.66,21.70,6.90,3.10,2.50,1912,22,,6604450.39,20808052.02,,,False
beysa01,DET,2021,70,53,12.60,0.57,18.70,3.30,-0.50,0.70,1909,21,3278182.00,66186.64,14269788.26,10991606.26,-10991606.26,False
holidjr01,MIL,2021,59,56,20.00,0.59,22.20,6.60,3.40,2.60,1907,30,32936368.00,8607150.80,22810752.43,-10125615.57,10125615.57,False
lopezbr01,MIL,2021,70,70,15.40,0.61,16.90,5.30,0.00,0.90,1902,32,15474547.00,-1926968.71,12276632.92,-3197914.08,3197914.08,False
caldwke01,LAL,2021,67,67,10.70,0.59,14.20,4.20,-0.50,0.70,1902,27,14713286.00,-3320030.96,10883570.67,-3829715.33,3829715.33,False
vanvlfr01,TOR,2021,52,52,16.80,0.53,23.90,4.30,2.50,2.20,1899,26,25897193.00,9888212.67,24091814.30,-1805378.70,1805378.70,True
capelca01,ATL,2021,63,63,24.30,0.60,19.90,8.20,2.70,2.20,1898,26,21936446.00,3123019.23,17326620.85,-4609825.15,4609825.15,False
anderky01,MEM,2021,69,69,17.20,0.58,18.50,5.60,3.30,2.50,1887,27,11583784.00,6159185.46,20362787.09,8779003.09,-8779003.09,False
irvinky01,BRK,2021,54,54,24.40,0.61,30.40,7.40,5.50,3.60,1886,28,41097748.00,18656341.92,32859943.55,-8237804.45,8237804.45,False
simmobe01,PHI,2021,58,58,18.30,0.58,20.20,6.00,2.90,2.30,1877,24,37242235.00,6377825.02,20581426.65,-16660808.35,16660808.35,False
inglejo01,UTA,2021,67,30,15.90,0.67,16.60,7.00,3.50,2.60,1867,33,12630075.00,4743200.60,18946802.23,6316727.23,-6316727.23,False
allenja01,2TM,2021,63,45,20.10,0.66,16.60,6.40,1.10,1.40,1864,22,4764964.00,-2376351.28,11827250.34,7062286.34,-7062286.34,False
allenja01,BRK,2021,12,5,21.50,0.73,15.50,1.40,2.60,0.40,320,22,4764964.00,-4742757.31,9460844.32,4695880.32,-4695880.32,False
allenja01,CLE,2021,51,40,19.80,0.65,16.80,5.00,0.80,1.10,1544,22,4764964.00,-3343984.17,10859617.46,6094653.46,-6094653.46,False
bacondw01,ORL,2021,72,50,9.90,0.49,19.80,0.50,-5.10,-1.50,1853,25,2046005.00,-7388097.12,6815504.50,4769499.50,-4769499.50,False
collijo01,ATL,2021,63,63,20.60,0.65,22.20,6.70,2.30,2.00,1848,23,5042094.00,5393913.07,19597514.70,14555420.70,-14555420.70,False
